Participant,WouldReccomend,LackOriginality,GeneralizePrevious,QuestionOriginal,NotPriority,BuildReputation,VerifyResults,NegativePublisherEvaluation,ExpandResults,EstablishKnowledge,LearnMethods,RelevantResearch,StrengthenDiscipline,ConsolidateResults,ValuableToField,LackInnovation,IncreaseOrDecrease,HaveReplicated,WantToReplicate,Country,PublishPerYear,CoursesTaken,ResearchType
1,0,55,80,53,56,72,75,59,67,65,63,56,55,56,59,36,3,1,,China,1,2,3
3,0,51,39,40,85,24,50,50,50,70,80,70,80,50,70,50,3,0,Yes,China,0,2,4
4,1,19,50,51,21,20,51,23,95,82,88,83,86,84,85,19,3,0,Yes,China,NA,1,4
5,1,0,100,100,53,74,100,NA,83,52,88,97,100,100,100,0,3,1,,China,NA,1,2
7,1,40,90,80,80,60,20,30,90,50,85,91,86,46,100,13,3,0,Yes,China,NA,2,2
8,1,40,100,80,94,84,82,86,88,85,85,65,77,83,81,28,1,1,,China,0,0,NA
9,1,83,100,78,90,7,95,39,100,68,97,54,80,89,58,43,3,1,,China,0,2,4
10,1,89,63,81,90,27,80,87,77,91,85,84,60,81,78,79,2,1,,China,1,1,3
11,1,38,55,41,7,55,36,60,52,48,45,80,62,62,80,42,3,0,Yes,China,NA,5,2
12,1,100,47,100,100,49,100,75,90,100,100,100,100,100,100,96,3,1,,Poland,2,0,2
13,1,50,50,0,75,50,50,50,50,100,75,100,100,50,100,50,3,0,Yes,Poland,0,NA,1
14,1,55,55,56,53,83,57,28,80,83,66,70,73,70,77,27,3,1,,China,1,2,3
15,1,0,9,0,0,50,0,50,100,100,93,100,100,100,100,0,3,0,Yes,United Kingdom,2,2,3
16,1,50,NA,1,26,48,89,NA,90,88,88,73,82,82,92,51,3,1,,Belgium,NA,2,2
17,1,20,87,50,50,50,85,50,85,85,80,90,85,90,85,50,3,0,Yes,Spain,1,7,2
18,1,20,NA,67,50,9,62,NA,88,89,89,89,90,90,91,3,3,1,,USA,NA,1,2
19,1,1,87,14,70,34,91,1,51,89,39,70,86,100,46,22,3,0,Yes,Germany,3,4,2
20,1,70,80,15,50,25,95,55,64,90,100,100,100,95,100,55,3,0,Yes,Germany,2,3,3
21,1,1,29,20,21,45,100,65,47,65,65,100,100,100,100,1,3,1,,Japan,1,2,2
22,1,50,50,50,73,0,100,50,94,95,50,96,99,97,97,32,3,0,Yes,Germany,NA,5,1
23,1,5,100,17,2,2,70,2,100,100,70,100,100,100,100,21,3,1,,Belgium,2,2,2
24,0,18,100,19,3,4,100,100,24,78,65,94,100,51,100,28,3,0,No,USA,1,3,1
25,1,90,100,50,0,30,100,60,70,100,100,100,100,100,100,70,3,0,Yes,USA,1,4,1
26,1,1,1,50,84,1,100,100,100,100,100,100,100,100,100,1,3,0,Yes,USA,NA,2,3
27,1,60,90,80,100,NA,100,60,90,90,100,100,100,100,100,70,3,1,,USA,1,3,1
28,1,100,50,81,1,19,70,2,100,84,14,100,100,83,100,2,3,0,Yes,Germany,2,0,3
29,1,100,100,10,100,50,100,72,0,100,100,100,100,100,100,100,3,0,Yes,USA,2,4,1
30,1,20,29,29,77,20,96,50,87,100,0,100,100,71,100,76,3,0,No response,Germany,3,2,1
31,1,70,90,30,60,40,50,60,80,80,70,80,90,90,90,35,3,1,,Belgium,3,4,2
32,1,9,70,18,40,82,100,47,79,92,88,100,100,100,100,32,3,1,,United Kingdom,1,3,2
33,1,70,18,53,66,84,85,57,72,72,79,75,76,61,84,61,3,1,,China,1,4,2
34,1,30,59,1,2,14,100,15,85,82,83,93,66,93,91,5,3,1,,Italy,2,2,2
